HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,AT,Austria,152,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,BE,Belgium,784,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,BG,Bulgaria,0,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,CY,Cyprus,3,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,CZ,Czechia,129,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,DK,Denmark,501,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,EE,Estonia,3,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,EL,Greece,8,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,ES,Spain,937,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,EU_EEA31,EU/EEA,10020,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,FI,Finland,304,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,FR,France,2414,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,HU,Hungary,34,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,IE,Ireland,150,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,IS,Iceland,14,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,IT,Italy,413,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,LT,Lithuania,2,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,LU,Luxembourg,1,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,LV,Latvia,2,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,MT,Malta,5,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,NL,Netherlands,297,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,NO,Norway,390,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,PL,Poland,57,
Invasive pneumococcal disease,"Confirmed cases, age 65 and above",Reported cases,N,2010,RO,Romania,11,
