"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","AT","Austria",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","BE","Belgium",118.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","CY","Cyprus",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","CZ","Czechia",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","DK","Denmark",20.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","EL","Greece",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","ES","Spain",107.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","EUEEA30_21","EU/EEA (without UK)",598.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",675.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","FI","Finland",20.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","FR","France",176.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","HU","Hungary",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","IE","Ireland",16.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","IS","Iceland",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","IT","Italy",29.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","LT","Lithuania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","LV","Latvia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","NL","Netherlands",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","NO","Norway",15.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","PL","Poland",29.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","RO","Romania",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","SE","Sweden",18.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2010","SI","Slovenia",7.000000000,""
