Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5§, Confirmed, Current week","Invasive pneumococcal disease, age < 5§, Confirmed, Current week, flag ","Invasive pneumococcal disease, age < 5§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2018†","Invasive pneumococcal disease, age < 5§, Confirmed, Cum 2018†, flag","Invasive pneumococcal disease, age < 5§, Probable, Current week","Invasive pneumococcal disease, age < 5§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2019†, flag","Invasive pneumococcal disease, age < 5§, Probable,  Cum 2018†","Invasive pneumococcal disease, age < 5§, Probable, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
UTAH,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190155
NORTH CAROLINA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
US RESIDENTS,2019,1,4,,32,,4,,18,,1,,3,,1,,,-,,US RESIDENTS,20190101
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190167
INDIANA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190116
SOUTH CAROLINA,2019,1,,-,5,,,-,1,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190135
MONTANA,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190152
LOUISIANA,2019,1,,-,4,,,-,1,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190145
HAWAII,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
ALASKA,2019,1,,-,3,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190158
RHODE ISLAND,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190107
GEORGIA,2019,1,,-,4,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190132
SOUTH ATLANTIC,2019,1,4,,12,,4,,1,,,-,2,,,-,,-,,SOUTH ATLANTIC,20190128
MAINE,2019,1,,-,2,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190104
VIRGINIA,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190136
NEW YORK CITY,2019,1,,-,4,,,-,2,,,-,0,,,-,,-,,NEW YORK CITY,20190112
OREGON,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,"OREGON
(43.940449, -120.605279)",,20190161
FLORIDA,2019,1,4,,3,,4,,,-,,-,1,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190131
AMERICAN SAMOA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190164
IOWA,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20190121
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
VERMONT,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
DELAWARE,2019,1,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
WASHINGTON,2019,1,,N,,NC,,N,,N,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20190162
